,schedule_season,schedule_month,schedule_week,Total_Score,over_under_line,Week_Day,Dome_Game,Over_Total_Score_Line,Number_States
338,2013,10,6,54.0,52.0,6,0,1,1
339,2013,10,6,51.0,42.5,6,1,1,1
340,2013,10,6,31.0,41.5,6,0,0,1
341,2013,10,6,45.0,44.5,6,1,1,1
342,2013,10,6,57.0,50.0,6,0,1,1
343,2013,10,6,25.0,41.0,6,0,0,1
344,2013,10,6,52.0,41.0,6,0,1,1
345,2013,10,6,33.0,41.5,6,0,0,1
346,2013,10,6,51.0,44.0,6,0,1,1
347,2013,10,6,28.0,50.5,0,0,0,1
348,2013,10,7,56.0,41.5,3,1,1,1
349,2013,10,7,54.0,43.0,6,1,1,1
350,2013,10,7,45.0,42.0,6,0,1,1
351,2013,10,7,51.0,46.0,6,1,1,1
352,2013,10,7,44.0,45.0,6,0,0,1
353,2013,10,7,72.0,55.5,6,1,1,1
354,2013,10,7,30.0,44.5,6,0,0,1
355,2013,10,7,33.0,39.0,6,0,0,1
356,2013,10,7,44.0,44.5,6,0,0,1
357,2013,10,7,57.0,43.0,6,0,1,1
358,2013,10,7,20.0,55.0,6,0,0,1
359,2013,10,7,35.0,41.0,6,0,0,1
360,2013,10,7,48.0,40.5,6,0,1,1
361,2013,10,7,86.0,48.0,6,0,1,1
362,2013,10,7,30.0,47.0,0,0,0,1
363,2013,10,8,44.0,38.5,3,0,1,1
364,2013,10,8,40.0,46.5,6,1,0,1
365,2013,10,8,58.0,41.5,6,0,1,1
366,2013,10,8,66.0,58.0,6,0,1,1
367,2013,10,8,61.0,50.5,6,1,1,1
368,2013,10,8,52.0,40.0,6,0,1,1
369,2013,10,8,40.0,39.0,6,0,1,1
370,2013,10,8,75.0,47.0,6,1,1,1
371,2013,10,8,44.0,45.0,6,0,0,1
372,2013,10,8,52.0,48.0,6,1,1,1
373,2013,10,8,39.0,40.5,6,0,0,1
374,2013,10,8,22.0,49.5,6,0,0,1
375,2013,10,8,23.0,43.5,0,1,0,1
376,2013,10,9,42.0,42.0,3,0,0,1
377,2013,11,9,36.0,41.0,6,0,0,1
378,2013,11,9,44.0,47.0,6,0,0,1
379,2013,11,9,42.0,42.0,6,0,0,1
380,2013,11,9,50.0,50.5,6,1,0,1
381,2013,11,9,51.0,44.0,6,1,1,1
382,2013,11,9,86.0,43.0,6,0,1,1
383,2013,11,9,46.0,46.0,6,0,0,1
384,2013,11,9,69.0,45.5,6,0,1,1
385,2013,11,9,51.0,40.5,6,0,1,1
386,2013,11,9,49.0,40.5,6,1,1,1
387,2013,11,9,54.0,48.5,6,0,1,1
388,2013,11,9,47.0,50.5,0,0,0,1
389,2013,11,10,61.0,48.0,3,1,1,1
390,2013,11,10,51.0,42.0,6,1,1,1
391,2013,11,10,43.0,47.0,6,1,0,1
392,2013,11,10,37.0,43.5,6,0,0,1
393,2013,11,10,40.0,52.0,6,0,0,1
394,2013,11,10,40.0,47.0,6,0,0,1
395,2013,11,10,46.0,43.0,6,1,1,1
396,2013,11,10,66.0,53.5,6,1,1,1
397,2013,11,10,44.0,41.0,6,0,1,1
398,2013,11,10,33.0,43.0,6,0,0,1
399,2013,11,10,48.0,57.0,6,0,0,1
400,2013,11,10,19.0,42.5,6,0,0,1
401,2013,11,10,56.0,42.0,6,0,1,1
402,2013,11,10,41.0,39.5,0,0,1,1
403,2013,11,11,57.0,42.0,3,0,1,1
404,2013,11,11,51.0,39.5,6,0,1,1
405,2013,11,11,43.0,41.0,6,0,1,1
406,2013,11,11,61.0,40.0,6,0,1,1
407,2013,11,11,44.0,49.0,6,0,0,1
408,2013,11,11,51.0,40.5,6,1,1,1
409,2013,11,11,41.0,40.5,6,0,1,1
410,2013,11,11,36.0,44.5,6,0,0,1
411,2013,11,11,43.0,49.5,6,1,0,1
412,2013,11,11,40.0,40.5,6,0,0,1
413,2013,11,11,40.0,54.0,6,0,0,1
414,2013,11,11,64.0,45.0,6,0,1,1
415,2013,11,11,61.0,45.0,6,0,1,1
416,2013,11,11,69.0,43.5,6,0,1,1
417,2013,11,11,44.0,45.5,0,0,0,1
418,2013,11,12,30.0,52.5,3,1,0,1
419,2013,11,12,51.0,44.5,6,1,1,1
420,2013,11,12,22.0,38.5,6,0,0,1
421,2013,11,12,38.0,39.0,6,0,0,1
422,2013,11,12,45.0,48.0,6,1,0,1
423,2013,11,12,52.0,44.5,6,0,1,1
424,2013,11,12,19.0,43.5,6,1,0,1
425,2013,11,12,79.0,42.5,6,0,1,1
426,2013,11,12,36.0,40.5,6,0,0,1
427,2013,11,12,65.0,53.0,6,0,1,1
428,2013,11,12,45.0,44.0,6,0,1,1
429,2013,11,12,42.0,42.0,6,0,0,1
430,2013,11,12,63.0,45.0,6,1,1,1
431,2013,11,12,33.0,47.0,0,0,0,1
432,2013,11,13,42.0,40.5,3,0,1,1
433,2013,11,13,55.0,48.0,3,1,1,1
434,2013,11,13,50.0,48.5,3,1,1,1
435,2013,12,13,65.0,48.5,6,1,1,1
436,2013,12,13,33.0,40.5,6,0,0,1
437,2013,12,13,60.0,39.0,6,0,1,1
438,2013,12,13,65.0,47.5,6,1,1,1
439,2013,12,13,36.0,46.0,6,1,0,1
440,2013,12,13,63.0,50.0,6,0,1,1
441,2013,12,13,43.0,50.5,6,1,0,1
442,2013,12,13,26.0,40.5,6,0,0,1
443,2013,12,13,45.0,48.5,6,0,0,1
444,2013,12,13,27.0,48.5,6,0,0,1
445,2013,12,13,36.0,40.0,6,0,0,1
446,2013,12,13,41.0,44.5,6,0,0,1
447,2013,12,13,41.0,47.5,0,0,0,1
448,2013,12,14,47.0,43.0,3,0,1,1
449,2013,12,14,40.0,41.0,6,1,0,1
450,2013,12,14,55.0,41.5,6,0,1,1
451,2013,12,14,70.0,43.5,6,0,1,1
452,2013,12,14,79.0,49.5,6,0,1,1
453,2013,12,14,43.0,45.0,6,0,0,1
454,2013,12,14,53.0,47.5,6,0,1,1
455,2013,12,14,44.0,46.5,6,1,0,1
456,2013,12,14,64.0,39.5,6,0,1,1
457,2013,12,14,54.0,53.5,6,0,1,1
458,2013,12,14,62.0,41.0,6,0,1,1
459,2013,12,14,51.0,46.5,6,0,1,1
460,2013,12,14,36.0,41.0,6,0,0,1
461,2013,12,14,33.0,42.5,6,0,0,1
462,2013,12,14,55.0,44.5,6,0,1,1
463,2013,12,14,73.0,49.5,0,0,1,1
464,2013,12,15,47.0,57.0,3,0,0,1
465,2013,12,15,53.0,49.0,6,1,1,1
466,2013,12,15,50.0,40.5,6,0,1,1
467,2013,12,15,69.0,44.0,6,0,1,1
468,2013,12,15,73.0,49.5,6,1,1,1
469,2013,12,15,28.0,47.0,6,1,0,1
470,2013,12,15,47.0,43.5,6,0,1,1
471,2013,12,15,44.0,46.5,6,0,0,1
472,2013,12,15,78.0,53.0,6,1,1,1
473,2013,12,15,23.0,43.0,6,0,0,1
474,2013,12,15,87.0,44.5,6,0,1,1
475,2013,12,15,50.0,43.0,6,0,1,1
476,2013,12,15,43.0,48.0,6,1,0,1
477,2013,12,15,47.0,41.0,6,0,1,1
478,2013,12,15,71.0,42.5,6,0,1,1
479,2013,12,15,34.0,49.0,0,1,0,1
480,2013,12,16,48.0,44.5,6,0,1,1
481,2013,12,16,19.0,42.5,6,0,0,1
